pais,quantidade,valor,ano,categoria
Brasil,0,0,1987,Espumantes
Brasil,0,0,1988,Espumantes
Brasil,0,0,1989,Espumantes
Brasil,0,0,1990,Espumantes
Brasil,0,0,1991,Espumantes
Brasil,0,0,1992,Espumantes
Brasil,0,0,1993,Espumantes
Brasil,0,0,1994,Espumantes
Brasil,0,0,1995,Espumantes
Brasil,0,0,1996,Espumantes
Brasil,0,0,1997,Espumantes
Brasil,0,0,1998,Espumantes
Brasil,0,0,1999,Espumantes
Brasil,0,0,2000,Espumantes
Brasil,0,0,2001,Espumantes
Brasil,0,0,2002,Espumantes
Brasil,0,0,2003,Espumantes
Brasil,5357,17451,2004,Espumantes
Brasil,9801,33151,2005,Espumantes
Brasil,16225,63088,2006,Espumantes
Brasil,4092,22079,2007,Espumantes
Brasil,1072,7645,2008,Espumantes
Brasil,0,0,2009,Espumantes
Brasil,468,62570,2010,Espumantes
Brasil,6210,52984,2011,Espumantes
Brasil,60601,313190,2012,Espumantes
Brasil,10195,44337,2013,Espumantes
Brasil,8606,37228,2014,Espumantes
Brasil,6383,47936,2015,Espumantes
Brasil,1014,4936,2016,Espumantes
Brasil,6166,180512,2017,Espumantes
Brasil,566215,162992,2018,Espumantes
Brasil,15464,238268,2019,Espumantes
Brasil,3491,106310,2020,Espumantes
Brasil,548,3488,2021,Espumantes
Brasil,0,0,2022,Espumantes
Brasil,7,184,2023,Espumantes
Brasil,338,3090,2024,Espumantes
Bulgária,0,0,1970,Espumantes
Bulgária,0,0,1971,Espumantes
Bulgária,0,0,1972,Espumantes
Bulgária,0,0,1973,Espumantes
Bulgária,0,0,1974,Espumantes
Bulgária,0,0,1975,Espumantes
Bulgária,0,0,1976,Espumantes
Bulgária,0,0,1977,Espumantes
Bulgária,0,0,1978,Espumantes
Bulgária,0,0,1979,Espumantes
Bulgária,0,0,1980,Espumantes
Bulgária,0,0,1981,Espumantes
Bulgária,0,0,1982,Espumantes
Bulgária,0,0,1983,Espumantes
Bulgária,0,0,1984,Espumantes
