categoria,item,quantidade,ano
DERIVADOS,Espumante orgânico,0,1988
DERIVADOS,Espumante orgânico,0,1989
DERIVADOS,Espumante orgânico,0,1990
DERIVADOS,Espumante orgânico,0,1991
DERIVADOS,Espumante orgânico,0,1992
DERIVADOS,Espumante orgânico,0,1993
DERIVADOS,Espumante orgânico,0,1994
DERIVADOS,Espumante orgânico,0,1995
DERIVADOS,Espumante orgânico,0,1996
DERIVADOS,Espumante orgânico,0,1997
DERIVADOS,Espumante orgânico,0,1998
DERIVADOS,Espumante orgânico,0,1999
DERIVADOS,Espumante orgânico,0,2000
DERIVADOS,Espumante orgânico,0,2001
DERIVADOS,Espumante orgânico,0,2002
DERIVADOS,Espumante orgânico,0,2003
DERIVADOS,Espumante orgânico,0,2004
DERIVADOS,Espumante orgânico,0,2005
DERIVADOS,Espumante orgânico,0,2006
DERIVADOS,Espumante orgânico,0,2007
DERIVADOS,Espumante orgânico,0,2008
DERIVADOS,Espumante orgânico,0,2009
DERIVADOS,Espumante orgânico,0,2010
DERIVADOS,Espumante orgânico,0,2011
DERIVADOS,Espumante orgânico,0,2012
DERIVADOS,Espumante orgânico,0,2013
DERIVADOS,Espumante orgânico,0,2014
DERIVADOS,Espumante orgânico,0,2015
DERIVADOS,Espumante orgânico,0,2016
DERIVADOS,Espumante orgânico,0,2017
DERIVADOS,Espumante orgânico,0,2018
DERIVADOS,Espumante orgânico,0,2019
DERIVADOS,Espumante orgânico,0,2020
DERIVADOS,Espumante orgânico,2412,2021
DERIVADOS,Espumante orgânico,0,2022
DERIVADOS,Espumante orgânico,1365,2023
DERIVADOS,Espumante orgânico,0,2024
DERIVADOS,Filtrado,0,1970
DERIVADOS,Filtrado,0,1971
DERIVADOS,Filtrado,0,1972
DERIVADOS,Filtrado,0,1973
DERIVADOS,Filtrado,0,1974
DERIVADOS,Filtrado,0,1975
DERIVADOS,Filtrado,0,1976
DERIVADOS,Filtrado,0,1977
DERIVADOS,Filtrado,0,1978
DERIVADOS,Filtrado,0,1979
DERIVADOS,Filtrado,0,1980
DERIVADOS,Filtrado,0,1981
DERIVADOS,Filtrado,0,1982
DERIVADOS,Filtrado,0,1983
DERIVADOS,Filtrado,0,1984
DERIVADOS,Filtrado,0,1985
DERIVADOS,Filtrado,0,1986
DERIVADOS,Filtrado,0,1987
DERIVADOS,Filtrado,88000,1988
DERIVADOS,Filtrado,39000,1989
DERIVADOS,Filtrado,11000,1990
DERIVADOS,Filtrado,18000,1991
DERIVADOS,Filtrado,11000,1992
DERIVADOS,Filtrado,0,1993
DERIVADOS,Filtrado,0,1994
DERIVADOS,Filtrado,0,1995
DERIVADOS,Filtrado,0,1996
DERIVADOS,Filtrado,0,1997
DERIVADOS,Filtrado,0,1998
DERIVADOS,Filtrado,0,1999
DERIVADOS,Filtrado,0,2000
DERIVADOS,Filtrado,0,2001
DERIVADOS,Filtrado,0,2002
DERIVADOS,Filtrado,0,2003
DERIVADOS,Filtrado,0,2004
DERIVADOS,Filtrado,0,2005
DERIVADOS,Filtrado,0,2006
DERIVADOS,Filtrado,0,2007
DERIVADOS,Filtrado,0,2008
DERIVADOS,Filtrado,0,2009
DERIVADOS,Filtrado,0,2010
DERIVADOS,Filtrado,0,2011
DERIVADOS,Filtrado,0,2012
DERIVADOS,Filtrado,0,2013
DERIVADOS,Filtrado,0,2014
DERIVADOS,Filtrado,0,2015
DERIVADOS,Filtrado,0,2016
DERIVADOS,Filtrado,0,2017
DERIVADOS,Filtrado,0,2018
DERIVADOS,Filtrado,0,2019
DERIVADOS,Filtrado,0,2020
DERIVADOS,Filtrado,0,2021
DERIVADOS,Filtrado,0,2022
DERIVADOS,Filtrado,0,2023
DERIVADOS,Filtrado,0,2024
DERIVADOS,Frisante,0,1970
DERIVADOS,Frisante,0,1971
DERIVADOS,Frisante,0,1972
DERIVADOS,Frisante,0,1973
DERIVADOS,Frisante,0,1974
DERIVADOS,Frisante,0,1975
DERIVADOS,Frisante,0,1976
DERIVADOS,Frisante,0,1977
DERIVADOS,Frisante,0,1978
DERIVADOS,Frisante,0,1979
DERIVADOS,Frisante,0,1980
DERIVADOS,Frisante,0,1981
DERIVADOS,Frisante,0,1982
DERIVADOS,Frisante,0,1983
DERIVADOS,Frisante,0,1984
DERIVADOS,Frisante,0,1985
DERIVADOS,Frisante,0,1986
DERIVADOS,Frisante,0,1987
DERIVADOS,Frisante,0,1988
DERIVADOS,Frisante,0,1989
DERIVADOS,Frisante,0,1990
DERIVADOS,Frisante,0,1991
DERIVADOS,Frisante,0,1992
DERIVADOS,Frisante,0,1993
DERIVADOS,Frisante,0,1994
DERIVADOS,Frisante,0,1995
DERIVADOS,Frisante,0,1996
DERIVADOS,Frisante,0,1997
DERIVADOS,Frisante,0,1998
DERIVADOS,Frisante,0,1999
DERIVADOS,Frisante,0,2000
DERIVADOS,Frisante,0,2001
DERIVADOS,Frisante,0,2002
DERIVADOS,Frisante,0,2003
DERIVADOS,Frisante,0,2004
DERIVADOS,Frisante,0,2005
DERIVADOS,Frisante,0,2006
DERIVADOS,Frisante,0,2007
DERIVADOS,Frisante,0,2008
DERIVADOS,Frisante,0,2009
DERIVADOS,Frisante,831000,2010
DERIVADOS,Frisante,1003800,2011
DERIVADOS,Frisante,778500,2012
DERIVADOS,Frisante,1009000,2013
DERIVADOS,Frisante,26069,2014
